season,rank,team,n_players,weekly_wages_gbp,annual_wages_gbp,pct_estimated
2023-2024,3,Arsenal,52,3193000,166036000,12.0
2023-2024,4,Chelsea,63,3020000,157040000,57.0
2023-2024,5,Liverpool,50,2620000,136240000,48.0
2023-2024,6,Tottenham Hotspur,61,2260000,117520000,39.0
2023-2024,7,Aston Villa,53,2252885,117150000,50.0
2023-2024,8,West Ham United,49,1833000,95316000,38.0
2023-2024,9,Newcastle United,59,1625000,84500000,41.0
2023-2024,10,Everton,48,1518808,78978000,57.0
2023-2024,11,Nottingham Forest,74,1385577,72050000,86.0
2023-2024,12,Crystal Palace,54,1327885,69050000,65.0
2023-2024,13,Fulham,52,1282500,66690000,69.0
2023-2024,14,Brighton & Hove Albion,55,1200000,62400000,78.0
2023-2024,15,AFC Bournemouth,61,1054500,54834000,79.0
2023-2024,16,Wolverhampton Wanderers,51,1035000,53820000,76.0
2023-2024,17,Brentford,59,768000,39936000,93.0
2023-2024,18,Burnley,69,740500,38506000,86.0
2023-2024,19,Sheffield United,61,553000,28756000,66.0
2023-2024,20,Luton Town,56,472500,24570000,89.0
2024-2025,1,Manchester City,67,3882000,201864000,55.0
2024-2025,2,Manchester United,67,3477846,180848000,33.0
2024-2025,3,Chelsea,79,3310000,172120000,61.0
2024-2025,4,Arsenal,52,3258000,169416000,31.0
2024-2025,5,Liverpool,64,2477000,128804000,56.0
2024-2025,6,Aston Villa,74,2068000,107536000,74.0
2024-2025,7,Tottenham Hotspur,71,2005500,104286000,61.0
2024-2025,8,Newcastle United,67,1986000,103272000,60.0
2024-2025,9,West Ham United,59,1735000,90220000,56.0
2024-2025,10,Everton,57,1373500,71422000,73.0
2024-2025,11,Crystal Palace,66,1342500,69810000,86.0
2024-2025,12,Fulham,53,1315500,68406000,78.0
2024-2025,13,Leicester City,62,1258000,65416000,75.0
2024-2025,14,Nottingham Forest,65,1221000,63492000,92.0
2024-2025,15,Brighton & Hove Albion,79,1191500,61958000,87.0
2024-2025,16,Southampton,72,1077500,56030000,88.0
2024-2025,17,AFC Bournemouth,60,1052000,54704000,83.0
2024-2025,18,Wolverhampton Wanderers,76,1043500,54262000,85.0
2024-2025,19,Brentford,64,797500,41470000,97.0
2024-2025,20,Ipswich Town,62,658000,34216000,97.0
