season,rank,team,n_players,weekly_wages_gbp,annual_wages_gbp,pct_estimated
2013-2014,1,Manchester City,28,2177962,113254000,100.0
2013-2014,2,Chelsea,49,1979269,102922000,100.0
2013-2014,3,Manchester United,37,1871000,97292000,100.0
2013-2014,4,Arsenal,41,1384500,71994000,100.0
2013-2014,5,Liverpool,35,1262442,65647000,100.0
2013-2014,6,Everton,35,1016154,52840000,100.0
2013-2014,7,Tottenham Hotspur,42,985596,51251000,100.0
2013-2014,8,West Ham United,45,908981,47267000,100.0
2013-2014,9,Sunderland,39,799327,41565000,100.0
2013-2014,10,Newcastle United,37,700923,36448000,100.0
2013-2014,11,West Bromwich Albion,33,664288,34543000,100.0
2013-2014,12,Stoke City,33,652442,33927000,100.0
2013-2014,13,Fulham,48,640904,33327000,100.0
2013-2014,14,Aston Villa,36,635500,33046000,100.0
2013-2014,15,Southampton,35,536654,27906000,100.0
2013-2014,16,Cardiff City,42,536000,27872000,100.0
2013-2014,17,Norwich City,32,535173,27829000,100.0
2013-2014,18,Swansea City,36,412673,21459000,100.0
2013-2014,19,Hull City,34,404308,21024000,100.0
2013-2014,20,Crystal Palace,45,372635,19377000,100.0
2014-2015,1,Manchester United,43,2713846,141120000,100.0
2014-2015,2,Manchester City,36,2351846,122296000,100.0
2014-2015,3,Chelsea,38,2012385,104644000,100.0
2014-2015,4,Arsenal,42,1820712,94677000,100.0
2014-2015,5,Liverpool,35,1577500,82030000,100.0
2014-2015,6,Tottenham Hotspur,43,1265192,65790000,100.0
2014-2015,7,Everton,40,970288,50455000,100.0
2014-2015,8,West Ham United,36,874192,45458000,100.0
2014-2015,9,Queens Park Rangers,41,867308,45100000,100.0
2014-2015,10,Southampton,37,818404,42557000,100.0
2014-2015,11,Sunderland,35,742808,38626000,100.0
2014-2015,12,Hull City,35,707596,36795000,100.0
2014-2015,13,Stoke City,30,706019,36713000,100.0
2014-2015,14,West Bromwich Albion,35,682500,35490000,100.0
2014-2015,15,Leicester City,37,642654,33418000,100.0
2014-2015,16,Aston Villa,38,636904,33119000,100.0
2014-2015,17,Newcastle United,42,629481,32733000,100.0
2014-2015,18,Crystal Palace,43,609692,31704000,100.0
2014-2015,19,Swansea City,37,577288,30019000,100.0
2014-2015,20,Burnley,30,299635,15581000,100.0
2015-2016,1,Manchester City,38,2441462,126956000,100.0
2015-2016,2,Manchester United,44,2395635,124573000,100.0
2015-2016,3,Chelsea,40,1921904,99939000,100.0
2015-2016,4,Arsenal,41,1888269,98190000,100.0
2015-2016,5,Liverpool,44,1826096,94957000,100.0
2015-2016,6,Everton,39,1063904,55323000,100.0
2015-2016,7,Tottenham Hotspur,31,1043231,54248000,100.0
2015-2016,8,Crystal Palace,38,1042096,54189000,100.0
2015-2016,9,West Ham United,50,1025635,53333000,100.0
2015-2016,10,Newcastle United,42,947212,49255000,100.0
2015-2016,11,Sunderland,42,891327,46349000,100.0
2015-2016,12,Southampton,35,826596,42983000,100.0
2015-2016,13,Stoke City,31,810731,42158000,100.0
2015-2016,14,West Bromwich Albion,35,798481,41521000,100.0
2015-2016,15,Swansea City,37,781000,40612000,100.0
2015-2016,16,Aston Villa,44,715981,37231000,100.0
2015-2016,17,Leicester City,35,709192,36878000,100.0
2015-2016,18,Norwich City,41,628000,32656000,100.0
2015-2016,19,Watford,39,558058,29019000,100.0
2015-2016,20,AFC Bournemouth,50,508712,26453000,100.0
2016-2017,1,Manchester United,45,3029000,157508000,100.0
2016-2017,2,Manchester City,45,2653096,137961000,100.0
2016-2017,3,Arsenal,44,1987788,103365000,100.0
2016-2017,4,Chelsea,52,1896423,98614000,100.0
2016-2017,5,Liverpool,39,1763192,91686000,100.0
2016-2017,6,Crystal Palace,48,1388827,72219000,100.0
2016-2017,7,Tottenham Hotspur,40,1369500,71214000,100.0
2016-2017,8,Everton,43,1304558,67837000,100.0
2016-2017,9,Leicester City,32,1225019,63701000,100.0
2016-2017,10,Southampton,39,1120615,58272000,100.0
2016-2017,11,West Ham United,45,1087538,56552000,100.0
2016-2017,12,Stoke City,39,995423,51762000,100.0
2016-2017,13,Sunderland,43,918500,47762000,100.0
2016-2017,14,Hull City,45,810481,42145000,100.0
2016-2017,15,Watford,47,807654,41998000,100.0
2016-2017,16,West Bromwich Albion,35,787692,40960000,100.0
2016-2017,17,Swansea City,40,764000,39728000,100.0
2016-2017,18,Middlesbrough,37,747462,38868000,100.0
2016-2017,19,AFC Bournemouth,45,685865,35665000,100.0
2016-2017,20,Burnley,39,469500,24414000,100.0
2017-2018,1,Manchester United,35,3195596,166171000,100.0
2017-2018,2,Arsenal,45,3043385,158256000,100.0
2017-2018,3,Manchester City,32,2913423,151498000,100.0
2017-2018,4,Chelsea,46,2339654,121662000,100.0
2017-2018,5,Liverpool,34,1839865,95673000,100.0
2017-2018,6,Everton,48,1643077,85440000,100.0
2017-2018,7,Tottenham Hotspur,34,1544192,80298000,100.0
2017-2018,8,West Ham United,41,1337173,69533000,100.0
2017-2018,9,Southampton,29,1309096,68073000,100.0
2017-2018,10,Crystal Palace,41,1308481,68041000,100.0
2017-2018,11,Leicester City,34,1232827,64107000,100.0
2017-2018,12,West Bromwich Albion,33,1135654,59054000,100.0
2017-2018,13,Stoke City,35,943308,49052000,100.0
2017-2018,14,Swansea City,37,918712,47773000,100.0
2017-2018,15,Watford,37,893769,46476000,100.0
2017-2018,16,AFC Bournemouth,37,828096,43061000,100.0
2017-2018,17,Newcastle United,37,811904,42219000,100.0
2017-2018,18,Brighton & Hove Albion,43,767481,39909000,100.0
2017-2018,19,Burnley,30,626096,32557000,100.0
2017-2018,20,Huddersfield Town,36,492442,25607000,100.0
2018-2019,1,Chelsea,103,3028981,157507000,100.0
2018-2019,2,Manchester United,86,2910096,151325000,100.0
2018-2019,3,Manchester City,96,2896365,150611000,100.0
2018-2019,4,Arsenal,91,2603077,135360000,100.0
2018-2019,5,Liverpool,88,2451154,127460000,100.0
2018-2019,6,Tottenham Hotspur,83,1753962,91206000,100.0
2018-2019,7,Everton,90,1648212,85707000,100.0
2018-2019,8,West Ham United,90,1592212,82795000,100.0
2018-2019,9,Leicester City,89,1536538,79900000,100.0
2018-2019,10,Crystal Palace,86,1436558,74701000,100.0
2018-2019,11,Southampton,86,1394510,72514500,100.0
2018-2019,12,AFC Bournemouth,82,1013269,52690000,100.0
2018-2019,13,Fulham,82,979212,50919000,100.0
2018-2019,14,Newcastle United,88,958558,49845000,100.0
2018-2019,15,Watford,93,949962,49398000,100.0
2018-2019,16,Burnley,83,851212,44263000,100.0
2018-2019,17,Brighton & Hove Albion,93,823481,42821000,100.0
2018-2019,18,Wolverhampton Wanderers,85,715135,37187000,100.0
2018-2019,19,Huddersfield Town,86,675288,35115000,100.0
2018-2019,20,Cardiff City,92,634423,32990000,100.0
2019-2020,1,Manchester United,78,3181538,165440000,33.0
2019-2020,2,Manchester City,71,2865192,148990000,31.0
2019-2020,3,Chelsea,79,2300962,119650000,35.0
2019-2020,4,Arsenal,78,2279615,118540000,32.0
2019-2020,5,Liverpool,70,2209038,114870000,31.0
2019-2020,6,Tottenham Hotspur,76,2068846,107580000,34.0
2019-2020,7,Everton,76,1690962,87930000,37.0
2019-2020,8,West Ham United,74,1432808,74506000,32.0
2019-2020,9,Crystal Palace,69,1428654,74290000,39.0
2019-2020,10,Leicester City,80,1414038,73530000,36.0
2019-2020,11,Newcastle United,88,1294423,67310000,35.0
2019-2020,12,Watford,91,1109038,57670000,35.0
2019-2020,13,Wolverhampton Wanderers,77,1040962,54130000,40.0
2019-2020,14,Southampton,64,1029615,53540000,34.0
2019-2020,15,Aston Villa,82,983654,51150000,34.0
2019-2020,16,Brighton & Hove Albion,84,936923,48720000,36.0
2019-2020,17,Burnley,73,855192,44470000,33.0
2019-2020,18,AFC Bournemouth,84,814423,42350000,32.0
2019-2020,19,Norwich City,71,503654,26190000,41.0
2019-2020,20,Sheffield United,83,465000,24180000,54.0
2020-2021,1,Manchester United,86,3719423,193410000,3.0
2020-2021,2,Chelsea,82,2842538,147811988,2.0
2020-2021,3,Arsenal,87,2835577,147450000,1.0
2020-2021,4,Manchester City,76,2647654,137678000,1.0
2020-2021,5,Tottenham Hotspur,82,2586077,134476000,4.0
2020-2021,6,Liverpool,84,2517692,130920000,5.0
2020-2021,7,Everton,87,1770635,92073000,1.0
2020-2021,8,Crystal Palace,87,1706442,88735000,2.0
2020-2021,9,Leicester City,80,1490885,77526000,0.0
2020-2021,10,West Ham United,72,1278385,66476000,3.0
2020-2021,11,Aston Villa,79,1194481,62113024,0.0
2020-2021,12,Newcastle United,94,1106654,57546000,3.0
2020-2021,13,Southampton,76,1099692,57184000,3.0
2020-2021,14,Fulham,89,1003247,52168824,8.0
2020-2021,15,Brighton & Hove Albion,87,991902,51578900,2.0
2020-2021,16,Wolverhampton Wanderers,70,990650,51513800,9.0
2020-2021,17,West Bromwich Albion,87,713235,37088200,21.0
2020-2021,18,Burnley,74,706750,36751000,3.0
2020-2021,19,Leeds United,85,465123,24186400,1.0
2020-2021,20,Sheffield United,86,386292,20087200,13.0
2021-2022,1,Manchester United,82,4593269,238850000,5.0
2021-2022,2,Chelsea,81,3382500,175890000,2.0
2021-2022,3,Manchester City,67,2914462,151552000,8.0
2021-2022,4,Liverpool,83,2777154,144412000,6.0
2021-2022,5,Arsenal,70,2199423,114370000,6.0
2021-2022,6,Tottenham Hotspur,67,2119038,110190000,10.0
2021-2022,7,Everton,86,1782654,92698000,22.0
2021-2022,8,West Ham United,77,1433769,74556000,4.0
2021-2022,9,Leicester City,82,1430192,74370000,23.0
2021-2022,10,Crystal Palace,78,1402885,72950000,31.0
2021-2022,11,Aston Villa,66,1374808,71490000,12.0
2021-2022,12,Newcastle United,83,1318654,68570000,7.0
2021-2022,13,Wolverhampton Wanderers,76,1101346,57270000,29.0
2021-2022,14,Southampton,81,1011154,52580000,26.0
2021-2022,15,Brighton & Hove Albion,76,893654,46470000,24.0
2021-2022,16,Watford,88,795769,41380000,36.0
2021-2022,17,Burnley,72,760000,39520000,22.0
2021-2022,18,Norwich City,82,602308,31320000,28.0
2021-2022,19,Leeds United,70,457885,23810000,27.0
2021-2022,20,Brentford,90,406346,21130000,36.0
2022-2023,1,Manchester United,94,4394500,228514000,17.0
2022-2023,2,Manchester City,72,3745000,194740000,15.0
2022-2023,3,Chelsea,89,3655000,190060000,21.0
2022-2023,4,Liverpool,87,3115000,161980000,30.0
2022-2023,5,Tottenham Hotspur,79,2102500,109330000,29.0
2022-2023,6,Arsenal,69,1955000,101660000,7.0
2022-2023,7,Aston Villa,81,1935000,100620000,23.0
2022-2023,8,Everton,80,1631000,84812000,45.0
2022-2023,9,Newcastle United,87,1593000,82836000,23.0
2022-2023,10,West Ham United,69,1585000,82420000,17.0
2022-2023,11,Leicester City,81,1515000,78780000,31.0
2022-2023,12,Crystal Palace,73,1285000,66820000,48.0
2022-2023,13,Fulham,72,1045000,54340000,42.0
2022-2023,14,Nottingham Forest,107,1027500,53430000,65.0
2022-2023,15,Wolverhampton Wanderers,88,1003500,52182000,60.0
2022-2023,16,Southampton,83,953000,49556000,63.0
2022-2023,17,Leeds United,79,949500,49374000,71.0
2022-2023,18,AFC Bournemouth,84,739000,38428000,56.0
2022-2023,19,Brighton & Hove Albion,73,738000,38376000,71.0
2022-2023,20,Brentford,75,618000,32136000,75.0
2023-2024,1,Manchester United,59,3956846,205756000,25.0
2023-2024,2,Manchester City,50,3866000,201032000,35.0
