model,adjusted_r_squared,residual_standard_error,n
Pooled linear,0.479679442319367,13.1149063442222,240
Club fixed effects,0.620192229337307,11.2049938886275,240
Interaction model,0.647036393889676,10.8017635147569,240
Log fixed effects,0.625129514717675,11.1319263733856,240
